"Test Case ID",Scenario,"Testing Type",Severity,Priority,"Feature Name","Sub Feature Name","Test Conditions","Test Idea","Test Data","Acceptance Criteria","Test Steps","Test Flow Name","Request Method","API End Point","Expected Output",cURL
TES10605,"Search Vietnamese content in Bugasura after Language Switching to keep data discovery accurate.",functionality,HIGH,P2,"Vietnamese Language Support","Language Switching","User enters and searches Vietnamese characters after switching language, and core data behavior remains unchanged.","As a Bugasura user working with Vietnamese content, I want to enter and search Vietnamese characters successfully after changing the interface language, while keeping search/filter behavior otherwise unchanged, so that my work data remains usable and consistent.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""search_term"",""value"":""n\u1ed9i dung ti\u1ebfng Vi\u1ec7t"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Search functions correctly with Vietnamese characters.","Step 1: Navigate to the Bugasura login page. 
Step 2: Enter {{email}} in the 'Email' field. 
Step 3: Enter {{password}} in the 'Password' field. 
Step 4: Click the 'Login' button. 
Step 5: Navigate to the 'Settings' menu. 
Step 6: Access the 'Language Preferences' section. 
Step 7: Select 'Vietnamese' from the dropdown list. 
Step 8: Confirm the language selection. 
Step 9: Enter Vietnamese content in the search bar. 
Step 10: Verify search results display Vietnamese content accurately.",,,,,
TES10604,"Change Bugasura language while keeping user-entered titles and comments unchanged for content accuracy.",localizability,HIGH,P2,"Vietnamese Language Support","Language Switching","Workspace contains user-entered content before language change and only product-owned UI text changes after switching.","As a Bugasura user, when I switch the interface language, I want menus, labels, dialogs, and messages to change language without altering bug titles, comments, or other user-entered content.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","User content remains unchanged after language switch.","Step 1: Navigate to the Bugasura login page. 
Step 2: Enter {{email}} in the 'Email' field. 
Step 3: Enter {{password}} in the 'Password' field. 
Step 4: Click the 'Login' button. 
Step 5: Wait for the dashboard to load. 
Step 6: Navigate to the 'Settings' menu. 
Step 7: Access the 'Language Preferences' section. 
Step 8: Select 'Vietnamese' from the dropdown list of available languages. 
Step 9: Confirm the language selection to apply changes immediately. 
Step 10: Verify that UI labels and menus are updated to Vietnamese. 
Step 11: Verify that user-entered content such as bug titles and comments remain unchanged.",,,,,
TES10603,"Select Vietnamese once in Bugasura and keep it across devices and browser restarts for continuity.",usability,HIGH,P2,"Vietnamese Language Support","Automatic Language Detection","User selects Vietnamese, then logs out and in again, restarts the browser, and signs in from another device or browser.","As a Bugasura user who selected Vietnamese, I want the same language to be retained across future sessions and environments so that I do not need to reconfigure it each time.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""YourPasswordHere"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Language preference is retained across devices and browser restarts.","Step 1: Navigate to the Bugasura login page 
Step 2: Enter {{email}} in the 'Email' field 
Step 3: Enter your password in the 'Password' field 
Step 4: Click 'Login' button 
Step 5: Wait for the profile page to load 
Step 6: Navigate to the settings menu 
Step 7: Select 'Vietnamese' from the language options 
Step 8: Save the language preference 
Step 9: Log out and close the browser 
Step 10: Re-open the browser and log in again 
Step 11: Verify that the UI remains in Vietnamese 
Step 12: Repeat on a different device and verify the same",,,,,
TES10602,"Fall back to English in Bugasura when Vietnamese resource files fail to load to keep critical pages usable.",error_handling,CRITICAL,P2,"Vietnamese Language Support","Localization Quality Observability","Vietnamese resource bundle load fails during page open or language switch.","As an end user, if the Vietnamese resource bundle fails to load, I want the page to remain usable in English while the failure is captured in observability systems for diagnosis.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Pages should remain usable in English if Vietnamese resource files fail to load.","Step 1: Authenticate with credentials using 'Username' and 'Password'. 
Step 2: Force Vietnamese resource files to fail loading. 
Step 3: Navigate to a critical page in Bugasura. 
Step 4: Verify the page remains usable in English. 
Step 5: Check observability logs for resource load failure capture.",,,,,
TES10601,"Record Bugasura language resolution source and fallback reason to explain how Vietnamese was chosen or bypassed.",functionality,HIGH,P2,"Vietnamese Language Support","Localization Quality Observability","Language selection occurs through browser detection, IP detection, saved preference, or fallback path.","As a QA engineer, I want logs to show whether Vietnamese was chosen by browser detection, IP geolocation, or saved preference, and why fallback occurred, so that language-resolution defects can be debugged accurately.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""browser_language"",""value"":""vi-VN"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Logs should clearly show language resolution source and fallback reasons.","Step 1: Authenticate with credentials using 'Username' and 'Password'. 
Step 2: Set browser language to Vietnamese. 
Step 3: Navigate to any page in Bugasura. 
Step 4: Verify logs for language resolution source (browser/IP/user preference). 
Step 5: Verify logs for fallback reasons if Vietnamese is not used.",,,,,
TES10600,"Capture missing Vietnamese keys and English fallback events in Bugasura logs to speed up localization fixes.",error_handling,CRITICAL,P2,"Vietnamese Language Support","Localization Quality Observability","A page or component renders with an intentionally missing Vietnamese translation key.","As a QA engineer, I want missing Vietnamese translation events to generate structured logs on both client and server so that localization gaps can be diagnosed quickly.","[{""type"":""text"",""key"":""base_url"",""value"":""{{apiurl_teamusersupdate}}"",""test_data_id"":""26059"",""value_variables"":[{""name"":""{{apiurl_teamusersupdate}}"",""value"":""\/teamUsers\/update"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26059""}]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""securePassword123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Logs should capture missing keys and fallback events for quick diagnosis.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate using 'Email' and 'Password' fields 
Step 3: Navigate to 'Settings' and select 'Language Preference' 
Step 4: Choose 'Vietnamese' as the preferred language 
Step 5: Simulate missing translation keys 
Step 6: Verify logs capture missing keys and fallback events 
Step 7: Ensure logs are structured for quick diagnosis",,,,,
TES10599,"Run synthetic checks on critical Vietnamese pages in Bugasura to catch broken localization before users are affected.",functionality,CRITICAL,P2,"Vietnamese Language Support","Localization Quality Observability","Synthetic monitoring executes against critical Vietnamese pages with a controlled localization or resource failure.","As a release owner, I want synthetic checks on critical Vietnamese pages to detect broken localization or resource-load issues before users are impacted.","[{""type"":""text"",""key"":""base_url"",""value"":""{{apiurl_teamusersupdate}}"",""test_data_id"":""26059"",""value_variables"":[{""name"":""{{apiurl_teamusersupdate}}"",""value"":""\/teamUsers\/update"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26059""}]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""securePassword123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Synthetic checks should detect broken localization before impacting users.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate using 'Email' and 'Password' fields 
Step 3: Navigate to 'Settings' and select 'Language Preference' 
Step 4: Choose 'Vietnamese' as the preferred language 
Step 5: Run synthetic checks on critical pages 
Step 6: Verify synthetic checks detect broken localization 
Step 7: Ensure issues are caught before impacting users",,,,,
TES10598,"Surface untranslated strings and Vietnamese error spikes in Localization Quality Observability dashboards to guide release decisions.",functionality,CRITICAL,P2,"Vietnamese Language Support","Localization Quality Observability","Controlled untranslated-string events and Vietnamese locale-specific errors are generated and reflected in metrics.","As a QA or product owner, I want localization quality metrics to surface elevated untranslated-string rates and locale-specific errors so that release health can be monitored.","[{""type"":""text"",""key"":""base_url"",""value"":""{{apiurl_teamusersupdate}}"",""test_data_id"":""26059"",""value_variables"":[{""name"":""{{apiurl_teamusersupdate}}"",""value"":""\/teamUsers\/update"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26059""}]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""securePassword123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Metrics should reflect untranslated-string rates and locale-specific errors for release monitoring.","Step 1: Navigate to {{base_url}} 
Step 2: Authenticate using 'Email' and 'Password' fields 
Step 3: Navigate to 'Settings' and select 'Language Preference' 
Step 4: Choose 'Vietnamese' as the preferred language 
Step 5: Simulate untranslated strings and error spikes 
Step 6: Verify observability dashboards reflect untranslated-string rates 
Step 7: Ensure locale-specific errors are visible for release monitoring",,,,,
TES10597,"Roll out Vietnamese in Bugasura by audience percentage to expand adoption with lower release risk.",functionality,HIGH,P2,"Vietnamese Language Support","Feature Flag Release","Configure rollout targeting and observe that only intended users receive Vietnamese while others remain unaffected.","As a release manager, I want staged rollout of Vietnamese support so that production validation can happen with limited exposure before broader release.","[{""type"":""text"",""key"":""username"",""value"":""testuser"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""api_key"",""value"":""{{api_key}}"",""test_data_id"":""26049"",""value_variables"":[{""name"":""{{api_key}}"",""value"":""947eebffd0767c6158ef444ef636ad08134087ad"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26049""}]},{""type"":""text"",""key"":""apiurl_usersupdate"",""value"":""{{apiurl_usersupdate}}"",""test_data_id"":""26050"",""value_variables"":[{""name"":""{{apiurl_usersupdate}}"",""value"":""\/users\/update"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26050""}]},{""type"":""text"",""key"":""flag_name"",""value"":""VietnameseSupport"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""flag_status"",""value"":""on"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""numeric"",""key"":""rollout_percentage"",""value"":""50"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Vietnamese is rolled out to the targeted audience only.","Step 1: Authenticate user with credentials using 'Username' and 'Password' fields 
Step 2: Navigate to the 'Profile/Settings' menu 
Step 3: Select 'Language' from the options 
Step 4: Choose 'Vietnamese' from the list of available languages 
Step 5: Save changes and confirm language preference 
Step 6: Verify that UI components, menus, and dialogs are displayed in Vietnamese 
Step 7: Test fallback to English in case of missing translations 
Step 8: Use feature flag to set rollout percentage for Vietnamese language support 
Step 9: Verify that only the targeted audience receives the Vietnamese language interface",,,,,
TES10596,"Capture Bugasura language events in logs and metrics to spot rollout issues quickly.",functionality,CRITICAL,P2,"Vietnamese Language Support","Feature Flag Release","Enable and disable the flag, trigger language resolution and fallback paths, and capture expected telemetry.","As an operations team member, I want localization quality events recorded so that rollout issues can be detected quickly in production.","[{""type"":""text"",""key"":""username"",""value"":""operations_team"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""securePassword101"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Language events are successfully captured in logs and metrics.","Step 1: Authenticate user with credentials using 'username' and 'password' fields 
Step 2: Trigger language change to Vietnamese 
Step 3: Verify that logs capture language resolution events 
Step 4: Verify that metrics reflect language-related data",,,,,
